review	aspect	sentiment
But the staff $ not found $ was so horrible to us.	staff	-1
To be completely fair, the only redeeming factor was the food $ any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth $, which was above average, but couldn't make up for all the other deficiencies of Teodora.	food	1
The food $ any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth $ is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.	food	1
Not only was the food $ any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth $ outstanding, but the little 'perks' were great.	food	1
Our agreed favorite is the orrechiete with sausage and chicken $ accompanied by (another person or thing) having or possessing (something) indicating the instrument used to perform an action in opposition to indicating the manner or attitude in which a great deal of person does something indicating responsibility in relation to employed by in the same direction as indicating separation or removal from something [SEP] an item of food in the form of a cylindrical length of minced pork or other meat encased in a skin, typically sold raw to be grilled or fried before eating. used as an affectionate form of address, especially to a child [SEP] used to connect words of the sam $ (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	orrechiete with sausage and chicken	1
The Bagels $ a dense bread roll in the shape of a ring, made by boiling dough and then baking it $ have an outstanding taste with a terrific texture, both chewy yet not gummy.	Bagels	1
Nevertheless the food $ any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth $ itself is pretty good.	food	1
They did not have mayonnaise $ a thick creamy dressing consisting of egg yolks beaten with oil and vinegar and seasoned $, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	mayonnaise	0
It took half an hour to get our check $ examine (something) in order to determine its accuracy, quality, or condition, or to detect the presence of something stop or slow the progress of (something, typically something undesirable) (of a passenger) consign (baggage) to the care of the transport provider with whom they are travelling mark or click on (a box) in order to select a particular option on a form, questionnaire, etc in a certain respects. move a piece or pawn to a square where it attacks (the opposing king) (in poker) choose not to make a bet when called upon, allowing another player to do so instead. (of a hound) pause to make sure of or regain $, which was perfect since we could sit, have drinks and talk!	check	0
The design $ a plan or drawing produced to show the look and function or workings of a building, garment, or other object before it is made a decorative pattern purpose or planning that exists behind an action, fact, or object $ and atmosphere is just as good.	design	1
He has visited Thailand and is quite expert on the cuisine $ a style or method of cooking, especially as characteristic of a particular country, region, or establishment $.	cuisine	1
The pizza $ a dish of Italian origin, consisting of a flat round base of dough baked with a topping of tomatoes and cheese, typically with added meat, fish, or vegetables $ is the best if you like thin crusted pizza.	pizza	1
All the money went into the interior decoration $ the decoration of the interior of a building or room, especially with regard for colour combination and artistic effect. $, none of it went to the chefs.	interior decoration	1
The seats $ the audience at a theatre, cinema, or other entertainment, viewed as a source of income $ are uncomfortable if you are sitting against the wall on wooden benches.	seats	-1
I asked for seltzer with lime $ soda water. [SEP] accompanied by (another person or thing) having or possessing (something) indicating the instrument used to perform an action in opposition to indicating the manner or attitude in which a person does something indicating responsibility in relation to employed by in the same direction as indicating separation or removal from something [SEP] a white caustic alkaline substance consisting of calcium oxide, which is obtained by heating limestone and which combines with water with the production of much heat; quicklime. birdlime. $, no ice.	seltzer with lime	0
Don't go alone---even two people isn't enough for the whole experience, with pickles $ Vegetables of several kinds pickled together. $ and a selection of meats and seafoods.	pickles	1
My suggestion is to eat family style $ put (food) into the mouth and chew and swallow it perform fellatio or cunnilingus on (someone). [SEP] a group of one or more parents and their children living together as a unit all the descendants of a common ancestor a group of related things $ because you'll want to try the other dishes.	eat family style	1
Best of all is the warm vibe $ not found $, the owner is super friendly and service is fast.	vibe	1
Great food $ any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth $ at REASONABLE prices, makes for an evening that can't be beat!	food	1
this little place has a cute interior decor $ the decoration of the interior of a building or room, especially with regard for colour combination and artistic effect. $ and affordable city prices.	interior decor	1
Two words: Free wine $ an alcoholic drink made from fermented grape juice $.	wine	1
The price $ the amount of money expected, required, or given in payment for something an unwelcome experience or action undergone or done as a condition of achieving an objective $ is reasonable although the service is poor.	price	1
The quantity $ the amount or number of a material or abstract thing not usually estimated by spatial measurement the perceived length of a vowel sound or syllable. a value or component that may be expressed in numbers. $ is also very good, you will come out satisfied.	quantity	1
I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi $ a Japanese dish consisting of small balls or rolls of vinegar-flavoured cold rice served with a garnish of vegetables, egg, or raw seafood. $ lovers, we sat at the sushi bar to be closer to the action.	sushi	0
The fried rice $ (especially in Asian cuisine) rice that is first boiled or steamed then lightly fried in a pan, typically with egg, meat, or vegetables, and served as a main or side dish $ is amazing here.	fried rice	1
Three courses $ menses. $ - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.	courses	1
it's a perfect place to have a amanzing indian food $ A fortified enclosure built (or used) by American Indians. $.	indian food	1
The place $ a particular position, point, or area in space; a location a portion of space designated or available for or being used by someone a position in a sequence or series, typically one ordered on the basis of merit a square or short street $ is so cool and the service is prompt and curtious.	place	1
At the end you're left with a mild broth with noodles $ soup consisting of meat or vegetables cooked in stock, sometimes thickened with barley or other cereals a liquid medium containing proteins and other nutrients for the culture of bacteria [SEP] accompanied by (another person or thing) having or possessing (something) indicating the instrument used to perform an action in opposition to indicating the manner or attitude in which a person does something indicating responsibility in relation to employed by in the same direction as indicating separation or removal from something [SEP] a SE Asian dish of stir-fried rice noodles, vegetables, and meat $ that you can slurp out of a cup.	broth with noodles	1
I just wonder how you can have such a delicious meal $ any of the regular occasions in a day when a reasonably large amount of food is eaten $ for such little money.	meal	1
The wine list $ a list of the wines available in a restaurant. $ is excellent.	wine list	1
They wouldnt even let me finish my glass of wine $ a hard, brittle substance, typically transparent or translucent, made by fusing sand with soda and lime and cooling rapidly. It is used to make windows, drinking containers, and other articles a drinking container made from glass a lens, or an optical instrument containing a lens or lenses, in particular a monocle or a magnifying lens. a mirror [SEP] expressing the relationship between a part and a whole. expressing the relationship between a scale or measure and a value indicating an association between two entities, typically one of belonging, in which the first is the head of the phrase and $ before offering another.	glass of wine	0
Whem asked, we had to ask more detailed questions so that we knew what the specials $ better, greater, or otherwise different from what is usual belonging specifically to a particular person or place denoting a group consisting of matrices of unit determinant. $ were.	specials	0
This is a consistently great place to dine $ eat dinner $ for lunch or dinner.	dine	1
Nice atmosphere $ the envelope of gases surrounding the earth or another planet the pervading tone or mood of a place, situation, or creative work $, the service was very pleasant and the desert was good.	atmosphere	1
After really enjoying ourselves at the bar $ a long rigid piece of wood, metal, or similar material, typically used as an obstruction, fastening, or weapon a counter in a pub, restaurant, or cafe across which drinks or refreshments are served a barrier or restriction to an action or advance any of the short sections or measures, typically of equal time value, into which a piece of music is divided, shown on a score by vertical lines across the stave a partition in a court room, now usually notional, beyond which most people may not pass and at which an accused person stands the profession of barrister $ we sat down at a table and had dinner.	bar	1
Try the lasagnette appetizer $ a small dish of food or a drink taken before a meal or the main course of a meal to stimulate one's appetite $.	lasagnette appetizer	1
I liked the beer selection $ an alcoholic drink made from yeast-fermented malt flavoured with hops [SEP] the action or fact of carefully choosing someone or something as being the best or most suitable a process in which environmental or genetic influences determine which types of organism thrive better than others, regarded as a factor in evolution the action of choosing and acquiring plots of land for small farming on terms favourable to the buyer $!	beer selection	1
Great food $ any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth $, good size menu, great service and an unpretensious setting.	food	1
Go here for a romantic dinner $ the main meal of the day, taken either around midday or in the evening $ but not for an all out wow dining experience.	dinner	1
I grew up eating Dosa $ (in southern Indian cooking) a pancake made from rice flour and ground pulses to some certain extent. typically served with a spiced vegetable filling $ and have yet to find a place in NY to satisfy my taste buds.	Dosa	0
Wine list selection $ an alcoholic drink made from fermented grape juice [SEP] a number of connected items or names written or printed consecutively, typically one below the other palisades enclosing an area for a tournament. a selvedge of a piece of fabric. [SEP] the action or fact of carefully choosing someone or something as being the best or most suitable a process in which environmental or genetic influences determine which types of organism thrive better than others, regarded as a factor in evolution the action of choosing and acquiring plots of land for small farming on terms favourable to the buyer $ is good and wine-by-the-glass was generously filled to the top.	Wine list selection	1
With the great variety on the menu $ a list of dishes available in a restaurant $ , I eat here often and never get bored .	menu	1
The menu $ a list of dishes available in a restaurant $ is very limited - i think we counted 4 or 5 entrees.	menu	-1
The menu $ a list of dishes available in a restaurant $ is limited but almost all of the dishes are excellent.	menu	1
Not too crazy about their sake martini $ for the purpose of; in the interest of; in order to achieve or preserve out of consideration for or in order to help or please someone used to express impatience, annoyance, urgency, or desperation [SEP] a type of vermouth produced in Italy in the slightest. a cocktail made from gin (or vodka) and dry vermouth, typically garnished with an olive or a twist of lemon. $.	sake martini	-1
Great bagels $ a dense bread roll in the shape of a ring, made by boiling dough and then baking it $, spreads and a good place to hang out in.	bagels	1
One thing I liked about this place is that I never felt rushed or pressured to give up my table $ a piece of furniture with a flat top and one or more legs, providing a level surface for eating, writing, or working at a set of facts or figures systematically displayed, especially in columns a flat, typically rectangular, vertical surface; a panel. $ ot incoming guests.	table	0
Unfortunately, the food $ any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth $ is outstanding, but everything else about this restaurant is the pits.	food	1
We always have a delicious meal $ any of the regular occasions in a day when a reasonably large amount of food is eaten $ and always leave feeling satisfied.	meal	1
Dip the ingredients $ any of the foods or substances that are combined to make a particular dish $ in with your chopsticks, swirl them around, and eat.	ingredients	0
First went here to enjoy their garden terrace $ a good deal of piece of ground adjoining a house, in which grass, flowers, and shrubs may be grown a large public hall [SEP] a level paved area next to a building; a patio each of a series of flat areas made on a slope, used for cultivation. a row of houses built in one block in a uniform style $.	garden terrace	1
The pizza $ a dish of Italian origin, consisting of a flat round base of dough baked with a topping of tomatoes and cheese, typically with added meat, fish, or vegetables $ was pretty good and huge.	pizza	1
I almost hesititate to write a review because the atmosphere $ the envelope of gases surrounding the earth or another planet the pervading tone or mood of a good deal of place, situation, or creative work $ was so great and I would hate for it too become to crowded.	atmosphere	1
They are often crowded $ (of a space) full of people, leaving little or no room for movement; packed $ on the weekends but they are efficient and accurate with their service.	crowded	1
