review	aspect	sentiment
Judging from previous posts this used to be a good place, but not any longer.	place	-1
We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.	staff	-1
The food was lousy - too sweet or too salty and the portions tiny.	food	-1
Avoid this place!	place	-1
I have eaten at Saul, many times, the food is always consistently, outrageously good.	food	1
Saul is the best restaurant on Smith Street and in Brooklyn.	Saul	1
The wine list is interesting and has many good values.	wine list	1
I was very disappointed with this restaurant.	restaurant	-1
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.	cart attendant	-1
Food was okay, nothing great.	Food	0
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	Chow fun	-1
Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!	Fish	1
Service was devine, oysters where a sensual as they come, and the price can't be beat!!!	Service	1
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.	Restaurant Saul	1
Everything is always cooked to perfection, the service is excellent, the decor cool and understated.	service	1
I had the duck breast special on my last visit and it was incredible.	duck breast special	1
The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.	food	-1
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.	Grilled Chicken special with Edamame Puree	1
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).	Edamame pureed	1
The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.	decor	1
Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!	sake list	1
The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!	spicy tuna roll	1
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!	service	1
we love th pink pony.	pink pony	1
THe perfect spot.	spot	1
Food-awesome.	Food	1
Service- friendly and attentive.	Service	1
Ambiance- relaxed and stylish.	Ambiance	1
Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.	place	1
the food is decent.	food	0
i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.	waiter	-1
This place has got to be the best japanese restaurant in the new york area.	place	1
Food is great.	Food	1
Service is top notch.	Service	1
I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.	sea urchin	1
The sushi seemed pretty fresh and was adequately proportioned.	sushi	1
The rice to fish ration was also good--they didn't try to overpack the rice.	rice to fish ration	1
We took advanatage of the half price sushi deal on saturday so it was well worth it.	half price sushi deal	1
In the evening, this place attracted a well dressed, with it, NY crowd.	crowd	1
The food was well prepared and the service impecable.	food	1
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).	Prix Fixe menu	1
$6 and there is much tasty food, all of it fresh and continually refilled.	food	1
I am not a vegetarian but, almost all the dishes were great.	dishes	1
The food here is rather good, but only if you like to wait for it.	food	1
I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.	somosas	1
The service varys from day to day- sometimes they're very nice, and sometimes not.	service	-1
The kitchen however, is almost always slow.	kitchen	-1
Also, specify if you like your food spicy- its rather bland if you don't.	food	-1
The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.	ambience	1
If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.	view	1
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	service	1
The lava cake dessert was incredible and I recommend it.	lava cake dessert	1
Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.	Cosette	1
This tiny restaurant is as cozy as it gets, with that certain Parisian flair.	restaurant	1
The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.	food	1
However, go for the ambience, and consider the food just a companion for a trip across the world!	ambience	1
The pizza was delivered cold and the cheese wasn't even fully melted!	pizza	-1
The pizza is overpriced and soggy.	pizza	-1
Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.	ingredients	1
I think I've had some the best meals of my life at minnow.	meals	1
The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.	seafood	1
The combination of super-fresh ingredients in the dishes are unusual but really delicious.	ingredients	1
Best Pastrami I ever had and great portion without being ridiculous.	Pastrami	1
My wife had the fried shrimp which are huge and loved it.	fried shrimp	1
As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.	place	1
This place is the most Japanese it can ever get.	place	1
The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.	signs	1
This place is worth an one-hour drive.	place	1
Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.	Leon	1
My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.	staff	1
Decent wine at reasonable prices.	wine	0
Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.	Zucchero Pomodori	1
This is by far my favorite place in the neighborhood.	place	1
The service is excellent, the decor is great, and the food is delicious and comes in large portions.	service	1
I'm partial to the Gnocchi.	Gnocchi	1
This place is incredibly tiny.	place	-1
The hostess is rude to the point of being offensive.	hostess	-1
The food was bland oily.	food	-1
We have been to this place many times, and always have great food, wine, and service.	food	1
We were worried we would have trouble getting in, but somehow managed to have a short wait.	wait	1
When we sat, we got great and fast service.	service	1
The people that work there are always so friendly you forget you are in New York sometimes.	people	1
Make sure you try this place as often as you can.	place	1
This is a fun restaurant to go to.	restaurant	1
The pizza is yummy and I like the atmoshpere.	pizza	1
But the pizza is way to expensive.	pizza	-1
A large is $20, and toppings are about $3 each.	toppings	-1
I went there for lunch and it was not as good as I expected from the reviews I read.	lunch	-1
Sauce was watery and the food didn't have much flavor.	Sauce	-1
The waitress was very patient with us and the food is phenomenal!	waitress	1
Service was prompt, friendly and great.	Service	1
Great pizza and fantastic service.	pizza	1
There was a small wait, but shorter than I expected.	wait	1
Located at the end of a magnificent block.	block	1
This is the best sushi in new york city - hands down.	sushi	1
The place is small and cramped but the food is fantastic.	place	1
Get the tuna of gari.	tuna of gari	1
Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .	Planet Thailand	1
With the great variety on the menu , I eat here often and never get bored .	menu	1
The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .	atmosphere	0
It's all about the food !!	food	1
first it took us a long time to find the place.	place	-1
but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.	menu	-1
those rolls were big, but not good and sashimi wasn't fresh.	rolls	0
Try the crunchy tuna, it is to die for.	crunchy tuna	1
First went here to enjoy their garden terrace.	garden terrace	1
The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.	food	1
The Steak Tartare is a great bet, they fix it for you at the table.	Steak Tartare	1
Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.	restaurant	1
Great wine selection, Gigondas is worth the price, and the house champagne is a great value.	wine selection	1
It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.	vibe	1
Have recommended the place to friends, always gets good response.	place	1
I take all my NYC guests to VT's.	VT's	1
Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!	neighborhood	1
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.	setting	1
I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.	Mizu	1
Moules were excellent, lobster ravioli was VERY salty!	Moules	1
Took my mom for Mother's Day, and the maitre d' was pretty rude.	maitre d'	-1
Tiny dessert was $8.00...just plain overpriced for what it is.	dessert	-1
The drinks are always welll made and wine selection is fairly priced.	drinks	1
Try their chef's specials-- they are to die for.	chef's specials	1
Service is not exactly five star, but thats not really a big deal.	Service	0
Downstairs lounge is always a good attraction	Downstairs lounge	1
Raga's is a romantic, cozy restaurant.	Raga's	1
The exotic food is beautifully presented and is a delight in delicious combinations.	exotic food	1
The staff is incredibly helpful and attentive.	staff	1
The bar is very well stocked with interesting beers and well priced wines.	bar	1
When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.	Leon	-1
The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...	waitress	-1
Rude service, medicore food...there are tons of restaurants in NY...stay away from this one	service	0
I had a grat time at Jekyll and Hyde!	Jekyll and Hyde	1
I loved everythig about it-especially the shows and actors.	shows	1
Our server was very helpful and friendly.	server	1
The food was good too.	food	1
The tuna and wasabe potatoes are excellent.	tuna	1
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.	outdoor atmosphere	1
Service was prompt and courteous.	Service	1
The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.	pizza	1
Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.	appetizer selection	-1
Wait staff is blantently unappreciative of your business but its the best pie on the UWS!	Wait staff	1
By far the best salad I have had in a fast food restaurant.	salad	1
fine dining restaurant quality.	dining	1
On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.	restaurant	1
The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.	chicken pot pie	1
The staff is no nonsense.	staff	1
The food options rule.	food	1
When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.	bagels	1
Worth visiting the 1st Ave spot because it is the original store.	1st Ave spot	1
He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!	Uni Hand roll	1
The sake menu should not be overlooked!	sake menu	1
Try the lobster teriyaki and the rose special roll.	lobster teriyaki	1
Service was very good - prompt, attentive and non-intrusive.	Service	1
Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).	Food	1
Wine list selection is good and wine-by-the-glass was generously filled to the top.	Wine list selection	1
Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.	Traditional French decour	1
I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.	Cafe Spice	1
To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. 	Service	0
Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.	Food	1
The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.	decor	1
I have NEVER been disappointed in the Red Eye.	Red Eye	1
The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.	live jazz band	1
It's simply the best meal in NYC.	meal	1
You cannot go wrong at the Red Eye Grill.	Red Eye Grill	1
If we were to move from the upper east side, we would genuinely miss this restaurant.	restaurant	1
The restaurant is cute but not upscale.	restaurant	0
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.	food	1
We had a great time at the Jekyll and hyde Pub last night.	Jekyll and hyde Pub	1
After really enjoying ourselves at the bar we sat down at a table and had dinner.	bar	1
The server was really cool and served us our food and drinks with a smile.	server	1
The place's decor and hidden bathrooms made for a good laugh.	decor	1
I highly recommend visiting this restaurant and having dinner and drinks!	restaurant	1
If you are the type of person who likes being scared and entertained, this is a great place to go and eat.	place	1
My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.	Jekyll and Hyde Pub	1
The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.	beers	1
Please take my advice, go and try this place.	place	1
The bagel was huge.	bagel	1
The workers there also absolutely load the bagel with cream cheese (gets a little messy).	bagel	-1
This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.	food	1
I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.	lobster roll	1
Other guests enjoyed pizza, santa fe chopped salad and fish and chips.	pizza	1
I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.	food	1
All the staff is absolutely professional!! 	staff	1
This restaurant was way overhyped.	restaurant	-1
My chow fun and chow see was really bland and oily.	chow fun and chow see	-1
The scallion pancakes and fried dumplings were nothing out of the ordinary.	scallion pancakes	0
The service was the only thing good about this restaurant.	service	1
It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.	sushi	-1
Their pad penang is delicious and everything else is fantastic.	pad penang	1
The price is reasonable although the service is poor.	service	-1
fresh restaurant was amazing........ food was delicious and of course fresh.	fresh restaurant	1
Hats off to the chef.	chef	1
the salads are delicious, both refreshing and very spicy.	salads	1
We had Pam's special fried fish and it was amazing.	Pam's special fried fish	1
I didn't complain, I liked the atmosphere so much.	atmosphere	1
Ambience is so cute and quaint, good for business although we were there on vacation.	Ambience	1
Although we were looking for regular lettuce and some walnuts the salads we got were great.	salads	1
Ingredients are organic which is a real plus for me.	Ingredients	1
This is some really good, inexpensive sushi.	sushi	1
The spicy Tuna roll is huge and probably the best that I've had at this price range.	spicy Tuna roll	1
The Yellowtail was particularly good as well.	Yellowtail	1
I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.	all you can eat deal	-1
In any event, this is a place I'll be sure to stop by again when I'm in this part of town.	place	1
Big Wong gets big Ups for a fine establishment.	Big Wong	1
They have it all -- great price, food, and service.	food	1
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.	atmosphere	1
And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).	congee	1
The takeout is great too since they give high quality tupperware as well.	takeout	1
This place is always very crowded and popular.	place	1
Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.	Caesar Salad	1
We both opted for a pasta dish and they were served timely and fresh.	pasta dish	1
We concluded with tiramisu chocolate cake, both were delicious.	tiramisu chocolate cake	1
I recently went to this restaurant with some co-workers for lunch and had an amazing time.	restaurant	1
The staff was accomodating, the food was absolutely delicious and the place is lovely.	staff	1
We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.	Manager	1
sometimes i get good food and ok service.	food	1
sometimes i get bad food and bad service, sometimes i get good good and bad service.	food	1
The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.	dishes	1
And where does Patis go wrong; no where. 	Patis	1
And evaluated on those terms Pastis is simply wonderful.	Pastis	1
Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).	raddichio	-1
My friend got the mushroom pizza which tasted better.	mushroom pizza	1
The sangria was pretty tasty and good on a hot muggy day.	sangria	1
Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.	place	0
Service was slow, but the people were friendly.	Service	1
It's a nice place to relax and have conversation.	place	1
The food is authentic Italian - delicious!	food	1
Pizza is terrific, as is homemade pasta.	Pizza	1
Ambience is delightful, service impeccable.	Ambience	1
I'm still mad that i had to pay for lousy food.	food	-1
The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.	hanger steak	-1
Service was also horrible and the ambience is not that great.	Service	-1
I go and eat out at many different restaurants and this is one place you have go and try.	place	1
This is my first time writing a review for a restaurant because the food and service was excellent.	food	1
The filet mignon dish was superb!	filet mignon dish	1
It's a small cute restaurant.	restaurant	1
I absolutely love this place!!!	place	1
I like the ambience, it's very dark and original.	ambience	1
The sushi is amazing!!! 	sushi	1
Very affordable and excellent ambient!	ambient	1
We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.	beef and noodle soup dishes	-1
We won't go to this place again for a good meal.	meal	-1
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!	place	1
THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.	Pizza	1
Check this place out!	place	1
First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.	place	-1
Slightly above average wines start at $70+ with only one selection listed at $30+.	wines	-1
Service is not what one would expect from a joint in this price category.	Service	-1
Somehow working the italian charm with constant mille grazie does not constitute proper service.	service	-1
To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	food	1
Fish was overdone.	Fish	-1
Cute place, nice wait staff but would never go there again.	place	1
Someone else recommended the dessert - we also left that.	dessert	-1
One of us actually liked the expresso - that's it.	expresso	1
Skip this restaurant, it's a big disappointment.	restaurant	-1
Myagi is one of my favorite restaurants in the City; the place the negative reviews describe sound like they were somewhere else.	Myagi	1
Their tuna tartar appetizer is to die for.	tuna tartar appetizer	1
I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.	pizza	1
The place is so cool and the service is prompt and curtious.	place	1
I highly recommend to anyone to give this place a try.	place	1
A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.	food	1
No gimmicks here -- the food speaks for itself in its freshness and preparation.	food	1
The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.	service	1
Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.	meal	1
The view is breathtaking the service is top notch... the ambiance is wonderfull.	view	1
The staff offers impeccable service.	staff	1
I had Lobster Bisque it has 2 oz. of Maine Lobster in it.	Lobster Bisque	1
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.	New England Chowder	1
My boyfriend had Prime Rib it was good .	Prime Rib	1
We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough. 	bottles of Korbett	1
My wife and I ate here earlier this week and have not stopped ranting and raving about the food.	food	1
If you like spicy food get the chicken vindaloo.	chicken vindaloo	1
Go to Volare for 1st class service and terrific food.	service	1
The wine list is excellent.	wine list	1
The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.	food	1
The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.	place	1
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.	food	1
With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.	lemon salad	0
We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.	grilled branzino	-1
The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.	decor	0
Problem is nothing at Prune is particularly memorable.	Prune	-1
This place is so much fun.	place	1
Our food was great too!	food	1
And really large portions.	portions	1
The staff was the friendliest that have seen in New York.	staff	1
